epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2415.65,1.24294,0.55297,1.11585,0.94656,0.97059,0.9889,0.63075,1.36448,0.50682,1.253,0.000280275,0.000280275,0.000280275
67,2458.76,1.23242,0.54166,1.11487,0.96446,0.95205,0.9868,0.62656,1.34121,0.51254,1.24322,0.000266532,0.000266532,0.000266532
68,2495.81,1.22247,0.54155,1.1059,0.95713,0.93836,0.98131,0.63757,1.31416,0.54971,1.24625,0.000253024,0.000253024,0.000253024
69,2538.56,1.2217,0.5256,1.11231,0.96931,0.93836,0.98818,0.63582,1.33287,0.5021,1.25324,0.000239766,0.000239766,0.000239766
70,2571.72,1.21012,0.52502,1.1002,0.94379,0.9589,0.98696,0.636,1.32597,0.50389,1.24767,0.000226769,0.000226769,0.000226769
71,2601.74,1.20387,0.53559,1.0978,0.95703,0.95205,0.98793,0.62493,1.33617,0.51313,1.24752,0.000214046,0.000214046,0.000214046
72,2636.4,1.21637,0.55134,1.11254,0.97883,0.95,0.98812,0.62337,1.3428,0.52938,1.27639,0.000201611,0.000201611,0.000201611
73,2671.23,1.22371,0.53261,1.09272,0.96023,0.95205,0.98779,0.62696,1.35134,0.50279,1.27105,0.000189475,0.000189475,0.000189475
74,2707.55,1.22007,0.52683,1.12535,0.92772,0.96709,0.98845,0.63461,1.34983,0.50443,1.24834,0.000177651,0.000177651,0.000177651
75,2743.89,1.1929,0.52212,1.09874,0.98523,0.91392,0.9882,0.63627,1.33358,0.51355,1.23494,0.000166149,0.000166149,0.000166149
76,2774.11,1.21562,0.53146,1.09184,0.98189,0.91781,0.98693,0.62882,1.3367,0.52026,1.24592,0.000154982,0.000154982,0.000154982
77,2807.73,1.20065,0.52985,1.09499,0.95767,0.93836,0.98801,0.63541,1.33328,0.50996,1.23629,0.000144161,0.000144161,0.000144161
78,2840.82,1.18546,0.51959,1.08184,0.96884,0.94521,0.98686,0.63575,1.33839,0.50411,1.24034,0.000133695,0.000133695,0.000133695
79,2874.09,1.18663,0.52064,1.09077,0.95662,0.95205,0.98716,0.63536,1.33387,0.50357,1.2364,0.000123596,0.000123596,0.000123596
80,2908.4,1.20005,0.52629,1.1052,0.95908,0.96329,0.98843,0.6276,1.33929,0.501,1.24741,0.000113873,0.000113873,0.000113873
81,2942.7,1.16606,0.51582,1.099,0.95679,0.95205,0.98797,0.6346,1.32365,0.5026,1.24056,0.000104537,0.000104537,0.000104537
