epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1797.97,1.20128,0.52328,1.10618,0.95887,0.95804,0.98755,0.62529,1.36689,0.51241,1.25396,0.000308412,0.000308412,0.000308412
65,1825.47,1.17948,0.51243,1.08769,0.95331,0.97896,0.98299,0.61474,1.35287,0.4808,1.26177,0.000294239,0.000294239,0.000294239
66,1853.22,1.18362,0.53219,1.09569,0.93415,0.97166,0.98659,0.6347,1.35028,0.51826,1.25616,0.000280275,0.000280275,0.000280275
67,1881.01,1.20304,0.51597,1.11201,0.95884,0.95724,0.98602,0.62186,1.37495,0.51411,1.27915,0.000266532,0.000266532,0.000266532
68,1908.78,1.18796,0.51419,1.09823,0.95214,0.95394,0.98788,0.6285,1.34272,0.50732,1.25157,0.000253024,0.000253024,0.000253024
69,1936.47,1.16818,0.5134,1.09404,0.93454,0.97945,0.98517,0.615,1.36024,0.50575,1.26619,0.000239766,0.000239766,0.000239766
70,1964.21,1.1619,0.51667,1.08741,0.95369,0.94521,0.9882,0.63419,1.34346,0.50625,1.25976,0.000226769,0.000226769,0.000226769
71,1991.76,1.17648,0.55016,1.11564,0.96624,0.95205,0.98688,0.61971,1.35849,0.49169,1.26966,0.000214046,0.000214046,0.000214046
72,2019.34,1.14254,0.49096,1.08756,0.97299,0.93836,0.98637,0.63354,1.3524,0.52503,1.25572,0.000201611,0.000201611,0.000201611
73,2046.88,1.16577,0.52052,1.09279,0.95287,0.9726,0.98632,0.62805,1.37028,0.49828,1.25209,0.000189475,0.000189475,0.000189475
74,2074.44,1.17918,0.50337,1.10432,0.94609,0.96156,0.98311,0.62833,1.35336,0.49017,1.24535,0.000177651,0.000177651,0.000177651
75,2102.02,1.16108,0.50014,1.09978,0.94627,0.96497,0.98452,0.62933,1.37456,0.53695,1.25538,0.000166149,0.000166149,0.000166149
76,2129.9,1.15519,0.4958,1.08855,0.97852,0.93623,0.9841,0.62878,1.35627,0.49868,1.25024,0.000154982,0.000154982,0.000154982
77,2157.71,1.17734,0.5197,1.08336,0.97245,0.94521,0.98192,0.62495,1.35639,0.49017,1.25545,0.000144161,0.000144161,0.000144161
78,2185.5,1.14448,0.4987,1.08739,0.97331,0.95205,0.98242,0.618,1.34764,0.49116,1.25289,0.000133695,0.000133695,0.000133695
79,2214.46,1.13818,0.49544,1.08262,0.97868,0.94311,0.98087,0.62379,1.34016,0.51904,1.25134,0.000123596,0.000123596,0.000123596
80,2242.37,1.18405,0.49989,1.12092,0.9718,0.94424,0.9804,0.61116,1.36614,0.50525,1.2852,0.000113873,0.000113873,0.000113873
81,2271.02,1.12461,0.47702,1.07214,0.9592,0.95205,0.98321,0.62148,1.35137,0.51213,1.26211,0.000104537,0.000104537,0.000104537
82,2300.26,1.12226,0.48158,1.06391,0.96526,0.95163,0.97814,0.6327,1.34133,0.5025,1.25973,9.55951e-05,9.55951e-05,9.55951e-05
83,2329.44,1.12402,0.47282,1.09668,0.9702,0.9589,0.98158,0.63361,1.33917,0.49091,1.25857,8.70577e-05,8.70577e-05,8.70577e-05
84,2358.9,1.08755,0.47604,1.04038,0.97616,0.9589,0.98199,0.62149,1.36257,0.50158,1.27437,7.89327e-05,7.89327e-05,7.89327e-05
85,2387.5,1.13449,0.49345,1.08728,0.97027,0.94521,0.98067,0.63158,1.35738,0.49659,1.27085,7.12282e-05,7.12282e-05,7.12282e-05
86,2416.32,1.09957,0.47309,1.06376,0.97052,0.9589,0.98208,0.63275,1.34814,0.48346,1.26799,6.39518e-05,6.39518e-05,6.39518e-05
87,2445.03,1.09888,0.47451,1.05898,0.97217,0.95691,0.98169,0.62138,1.36051,0.49547,1.27655,5.71106e-05,5.71106e-05,5.71106e-05
88,2473.5,1.11789,0.48503,1.07848,0.96759,0.9589,0.98244,0.62793,1.35384,0.48615,1.26803,5.07115e-05,5.07115e-05,5.07115e-05
89,2502.06,1.14323,0.48975,1.07707,0.97854,0.9589,0.98279,0.6298,1.34507,0.48151,1.27076,4.47606e-05,4.47606e-05,4.47606e-05
90,2530.76,1.10844,0.47548,1.07268,0.97173,0.95205,0.98254,0.61983,1.34771,0.48403,1.2691,3.9264e-05,3.9264e-05,3.9264e-05
91,2557.77,1.0637,0.43912,1.12725,0.96556,0.96017,0.97971,0.6151,1.3646,0.50315,1.27722,3.4227e-05,3.4227e-05,3.4227e-05
92,2584.71,1.07115,0.4228,1.1238,0.96556,0.96006,0.97929,0.61337,1.3706,0.49946,1.28835,2.96546e-05,2.96546e-05,2.96546e-05
93,2611.43,1.04684,0.41746,1.11274,0.96533,0.95343,0.97908,0.61495,1.36701,0.50344,1.285,2.55513e-05,2.55513e-05,2.55513e-05
94,2638.04,1.04719,0.41651,1.11204,0.97213,0.95551,0.97982,0.6207,1.35715,0.5027,1.27826,2.19212e-05,2.19212e-05,2.19212e-05
95,2664.55,1.05804,0.415,1.11579,0.96897,0.95205,0.97941,0.62441,1.35369,0.49903,1.27522,1.87678e-05,1.87678e-05,1.87678e-05
96,2692.21,1.03778,0.4177,1.09672,0.96918,0.95205,0.97881,0.62289,1.35678,0.50022,1.27613,1.60943e-05,1.60943e-05,1.60943e-05
97,2717.83,1.05468,0.41386,1.1042,0.96925,0.95205,0.97905,0.62586,1.35669,0.49961,1.27786,1.39032e-05,1.39032e-05,1.39032e-05
98,2743.52,1.04626,0.41901,1.11167,0.96902,0.95205,0.97998,0.62666,1.35792,0.50079,1.2798,1.21968e-05,1.21968e-05,1.21968e-05
99,2769.21,1.0465,0.41133,1.10678,0.96913,0.95205,0.98003,0.624,1.3569,0.50016,1.27895,1.09768e-05,1.09768e-05,1.09768e-05
100,2794.91,1.04577,0.41262,1.11211,0.96492,0.9589,0.9804,0.62747,1.35223,0.49533,1.27441,1.02443e-05,1.02443e-05,1.02443e-05
